sport_key,alias,canonical_name,source_bookmaker,abbreviation,team_id,notes
baseball_mlb,ARI,Arizona Diamondbacks,sleeper,ARI,,
baseball_mlb,ATL,Atlanta Braves,sleeper,ATL,,
baseball_mlb,BAL,Baltimore Orioles,sleeper,BAL,,
baseball_mlb,BOS,Boston Red Sox,sleeper,BOS,,
baseball_mlb,CHC,Chicago Cubs,sleeper,CHC,,
baseball_mlb,CHW,Chicago White Sox,sleeper,CHW,,
baseball_mlb,CIN,Cincinnati Reds,sleeper,CIN,,
baseball_mlb,CLE,Cleveland Guardians,sleeper,CLE,,
baseball_mlb,COL,Colorado Rockies,sleeper,COL,,
baseball_mlb,DET,Detroit Tigers,sleeper,DET,,
baseball_mlb,HOU,Houston Astros,sleeper,HOU,,
baseball_mlb,KC,Kansas City Royals,sleeper,KC,,
baseball_mlb,LAA,Los Angeles Angels,sleeper,LAA,,
baseball_mlb,LAD,Los Angeles Dodgers,sleeper,LAD,,
baseball_mlb,MIA,Miami Marlins,sleeper,MIA,,
baseball_mlb,MIL,Milwaukee Brewers,sleeper,MIL,,
baseball_mlb,MIN,Minnesota Twins,sleeper,MIN,,
baseball_mlb,NYM,New York Mets,sleeper,NYM,,
baseball_mlb,NYY,New York Yankees,sleeper,NYY,,
baseball_mlb,OAK,Oakland Athletics,sleeper,OAK,,
baseball_mlb,PHI,Philadelphia Phillies,sleeper,PHI,,
baseball_mlb,PIT,Pittsburgh Pirates,sleeper,PIT,,
baseball_mlb,SD,San Diego Padres,sleeper,SD,,
baseball_mlb,SEA,Seattle Mariners,sleeper,SEA,,
baseball_mlb,SF,San Francisco Giants,sleeper,SF,,
baseball_mlb,STL,St. Louis Cardinals,sleeper,STL,,
baseball_mlb,TB,Tampa Bay Rays,sleeper,TB,,
baseball_mlb,TEX,Texas Rangers,sleeper,TEX,,
baseball_mlb,TOR,Toronto Blue Jays,sleeper,TOR,,
baseball_mlb,WSH,Washington Nationals,sleeper,WSH,,
baseball_mlb,Arizona Diamondbacks,Arizona Diamondbacks,underdog,ARI,,
baseball_mlb,Arizona Diamondbacks,Arizona Diamondbacks,splash,ARI,,
baseball_mlb,Atlanta Braves,Atlanta Braves,underdog,ATL,,
baseball_mlb,Atlanta Braves,Atlanta Braves,splash,ATL,,
baseball_mlb,Baltimore Orioles,Baltimore Orioles,underdog,BAL,,
baseball_mlb,Baltimore Orioles,Baltimore Orioles,splash,BAL,,
baseball_mlb,Boston Red Sox,Boston Red Sox,underdog,BOS,,
baseball_mlb,Boston Red Sox,Boston Red Sox,splash,BOS,,
baseball_mlb,Chicago Cubs,Chicago Cubs,underdog,CHC,,
baseball_mlb,Chicago Cubs,Chicago Cubs,splash,CHC,,
baseball_mlb,Chicago White Sox,Chicago White Sox,underdog,CHW,,
baseball_mlb,Chicago White Sox,Chicago White Sox,splash,CHW,,
baseball_mlb,Cincinnati Reds,Cincinnati Reds,underdog,CIN,,
baseball_mlb,Cincinnati Reds,Cincinnati Reds,splash,CIN,,
baseball_mlb,Cleveland Guardians,Cleveland Guardians,underdog,CLE,,
baseball_mlb,Cleveland Guardians,Cleveland Guardians,splash,CLE,,
baseball_mlb,Colorado Rockies,Colorado Rockies,underdog,COL,,
baseball_mlb,Colorado Rockies,Colorado Rockies,splash,COL,,
baseball_mlb,Detroit Tigers,Detroit Tigers,underdog,DET,,
baseball_mlb,Detroit Tigers,Detroit Tigers,splash,DET,,
baseball_mlb,Houston Astros,Houston Astros,underdog,HOU,,
baseball_mlb,Houston Astros,Houston Astros,splash,HOU,,
baseball_mlb,Kansas City Royals,Kansas City Royals,underdog,KC,,
baseball_mlb,Kansas City Royals,Kansas City Royals,splash,KC,,
baseball_mlb,Los Angeles Angels,Los Angeles Angels,underdog,LAA,,
baseball_mlb,Los Angeles Angels,Los Angeles Angels,splash,LAA,,
baseball_mlb,Los Angeles Dodgers,Los Angeles Dodgers,underdog,LAD,,
baseball_mlb,Los Angeles Dodgers,Los Angeles Dodgers,splash,LAD,,
baseball_mlb,Miami Marlins,Miami Marlins,underdog,MIA,,
