sport_key,alias,canonical_name,source_bookmaker,abbreviation,team_id,notes
basketball_nba,ATL,Atlanta Hawks,sleeper,ATL,,
basketball_nba,BOS,Boston Celtics,sleeper,BOS,,
basketball_nba,BKN,Brooklyn Nets,sleeper,BKN,,
basketball_nba,CHA,Charlotte Hornets,sleeper,CHA,,
basketball_nba,CHI,Chicago Bulls,sleeper,CHI,,
basketball_nba,CLE,Cleveland Cavaliers,sleeper,CLE,,
basketball_nba,DAL,Dallas Mavericks,sleeper,DAL,,
basketball_nba,DEN,Denver Nuggets,sleeper,DEN,,
basketball_nba,DET,Detroit Pistons,sleeper,DET,,
basketball_nba,GSW,Golden State Warriors,sleeper,GSW,,
basketball_nba,HOU,Houston Rockets,sleeper,HOU,,
basketball_nba,IND,Indiana Pacers,sleeper,IND,,
basketball_nba,LAC,Los Angeles Clippers,sleeper,LAC,,
basketball_nba,LAL,Los Angeles Lakers,sleeper,LAL,,
basketball_nba,MEM,Memphis Grizzlies,sleeper,MEM,,
basketball_nba,MIA,Miami Heat,sleeper,MIA,,
basketball_nba,MIL,Milwaukee Bucks,sleeper,MIL,,
basketball_nba,MIN,Minnesota Timberwolves,sleeper,MIN,,
basketball_nba,NOP,New Orleans Pelicans,sleeper,NOP,,
basketball_nba,NYK,New York Knicks,sleeper,NYK,,
basketball_nba,OKC,Oklahoma City Thunder,sleeper,OKC,,
basketball_nba,ORL,Orlando Magic,sleeper,ORL,,
basketball_nba,PHI,Philadelphia 76ers,sleeper,PHI,,
basketball_nba,PHX,Phoenix Suns,sleeper,PHX,,
basketball_nba,POR,Portland Trail Blazers,sleeper,POR,,
basketball_nba,SAC,Sacramento Kings,sleeper,SAC,,
basketball_nba,SAS,San Antonio Spurs,sleeper,SAS,,
basketball_nba,TOR,Toronto Raptors,sleeper,TOR,,
basketball_nba,UTA,Utah Jazz,sleeper,UTA,,
basketball_nba,WAS,Washington Wizards,sleeper,WAS,,
basketball_nba,Atlanta Hawks,Atlanta Hawks,underdog,ATL,,
basketball_nba,Atlanta Hawks,Atlanta Hawks,splash,ATL,,
basketball_nba,Boston Celtics,Boston Celtics,underdog,BOS,,
basketball_nba,Boston Celtics,Boston Celtics,splash,BOS,,
basketball_nba,Brooklyn Nets,Brooklyn Nets,underdog,BKN,,
basketball_nba,Brooklyn Nets,Brooklyn Nets,splash,BKN,,
basketball_nba,Charlotte Hornets,Charlotte Hornets,underdog,CHA,,
basketball_nba,Charlotte Hornets,Charlotte Hornets,splash,CHA,,
basketball_nba,Chicago Bulls,Chicago Bulls,underdog,CHI,,
basketball_nba,Chicago Bulls,Chicago Bulls,splash,CHI,,
basketball_nba,Cleveland Cavaliers,Cleveland Cavaliers,underdog,CLE,,
basketball_nba,Cleveland Cavaliers,Cleveland Cavaliers,splash,CLE,,
basketball_nba,Dallas Mavericks,Dallas Mavericks,underdog,DAL,,
basketball_nba,Dallas Mavericks,Dallas Mavericks,splash,DAL,,
basketball_nba,Denver Nuggets,Denver Nuggets,underdog,DEN,,
basketball_nba,Denver Nuggets,Denver Nuggets,splash,DEN,,
basketball_nba,Detroit Pistons,Detroit Pistons,underdog,DET,,
basketball_nba,Detroit Pistons,Detroit Pistons,splash,DET,,
basketball_nba,Golden State Warriors,Golden State Warriors,underdog,GSW,,
basketball_nba,Golden State Warriors,Golden State Warriors,splash,GSW,,
basketball_nba,Houston Rockets,Houston Rockets,underdog,HOU,,
basketball_nba,Houston Rockets,Houston Rockets,splash,HOU,,
basketball_nba,Indiana Pacers,Indiana Pacers,underdog,IND,,
basketball_nba,Indiana Pacers,Indiana Pacers,splash,IND,,
basketball_nba,Los Angeles Clippers,Los Angeles Clippers,underdog,LAC,,
basketball_nba,Los Angeles Clippers,Los Angeles Clippers,splash,LAC,,
basketball_nba,Los Angeles Lakers,Los Angeles Lakers,underdog,LAL,,
basketball_nba,Los Angeles Lakers,Los Angeles Lakers,splash,LAL,,
basketball_nba,Memphis Grizzlies,Memphis Grizzlies,underdog,MEM,,
basketball_nba,Memphis Grizzlies,Memphis Grizzlies,splash,MEM,,
