sport_key,alias,canonical_name,source_bookmaker,abbreviation,team_id,notes
americanfootball_ncaaf,Baylor Bears,Baylor Bears,underdog,,,from unmapped sample
americanfootball_ncaaf,Baylor Bears,Baylor Bears,splash,,,from unmapped sample
americanfootball_ncaaf,Cincinnati Bearcats,Cincinnati Bearcats,underdog,,,from unmapped sample
americanfootball_ncaaf,Cincinnati Bearcats,Cincinnati Bearcats,splash,,,from unmapped sample
americanfootball_ncaaf,Illinois Fighting Illini,Illinois Fighting Illini,underdog,,,from unmapped sample
americanfootball_ncaaf,Illinois Fighting Illini,Illinois Fighting Illini,splash,,,from unmapped sample
americanfootball_ncaaf,Washington Huskies,Washington Huskies,underdog,,,from unmapped sample
americanfootball_ncaaf,Washington Huskies,Washington Huskies,splash,,,from unmapped sample
americanfootball_ncaaf,LSU Tigers,LSU Tigers,underdog,,,from unmapped sample
americanfootball_ncaaf,LSU Tigers,LSU Tigers,splash,,,from unmapped sample
americanfootball_ncaaf,Texas A&M Aggies,Texas A&M Aggies,underdog,,,from unmapped sample
americanfootball_ncaaf,Texas A&M Aggies,Texas A&M Aggies,splash,,,from unmapped sample
americanfootball_ncaaf,Michigan Wolverines,Michigan Wolverines,underdog,,,from unmapped sample
americanfootball_ncaaf,Michigan Wolverines,Michigan Wolverines,splash,,,from unmapped sample
americanfootball_ncaaf,Michigan State Spartans,Michigan State Spartans,underdog,,,from unmapped sample
americanfootball_ncaaf,Michigan State Spartans,Michigan State Spartans,splash,,,from unmapped sample
americanfootball_ncaaf,Iowa State Cyclones,Iowa State Cyclones,underdog,,,from unmapped sample
americanfootball_ncaaf,Iowa State Cyclones,Iowa State Cyclones,splash,,,from unmapped sample
americanfootball_ncaaf,BYU Cougars,BYU Cougars,underdog,,,from unmapped sample
americanfootball_ncaaf,BYU Cougars,BYU Cougars,splash,,,from unmapped sample
americanfootball_ncaaf,Kentucky Wildcats,Kentucky Wildcats,underdog,,,from unmapped sample
americanfootball_ncaaf,Kentucky Wildcats,Kentucky Wildcats,splash,,,from unmapped sample
americanfootball_ncaaf,Tennessee Volunteers,Tennessee Volunteers,underdog,,,from unmapped sample
americanfootball_ncaaf,Tennessee Volunteers,Tennessee Volunteers,splash,,,from unmapped sample
americanfootball_ncaaf,Mississippi State Bulldogs,Mississippi State Bulldogs,underdog,,,from unmapped sample
