sport_key,alias,canonical_name,source_bookmaker,abbreviation,team_id,notes
americanfootball_nfl,ARI,Arizona Cardinals,sleeper,ARI,,
americanfootball_nfl,ATL,Atlanta Falcons,sleeper,ATL,,
americanfootball_nfl,BAL,Baltimore Ravens,sleeper,BAL,,
americanfootball_nfl,BUF,Buffalo Bills,sleeper,BUF,,
americanfootball_nfl,CAR,Carolina Panthers,sleeper,CAR,,
americanfootball_nfl,CHI,Chicago Bears,sleeper,CHI,,
americanfootball_nfl,CIN,Cincinnati Bengals,sleeper,CIN,,
americanfootball_nfl,CLE,Cleveland Browns,sleeper,CLE,,
americanfootball_nfl,DAL,Dallas Cowboys,sleeper,DAL,,
americanfootball_nfl,DEN,Denver Broncos,sleeper,DEN,,
americanfootball_nfl,DET,Detroit Lions,sleeper,DET,,
americanfootball_nfl,GB,Green Bay Packers,sleeper,GB,,
americanfootball_nfl,HOU,Houston Texans,sleeper,HOU,,
americanfootball_nfl,IND,Indianapolis Colts,sleeper,IND,,
americanfootball_nfl,JAX,Jacksonville Jaguars,sleeper,JAX,,
americanfootball_nfl,KC,Kansas City Chiefs,sleeper,KC,,
americanfootball_nfl,LV,Las Vegas Raiders,sleeper,LV,,
americanfootball_nfl,LAC,Los Angeles Chargers,sleeper,LAC,,
americanfootball_nfl,LAR,Los Angeles Rams,sleeper,LAR,,
americanfootball_nfl,MIA,Miami Dolphins,sleeper,MIA,,
americanfootball_nfl,MIN,Minnesota Vikings,sleeper,MIN,,
americanfootball_nfl,NE,New England Patriots,sleeper,NE,,
americanfootball_nfl,NO,New Orleans Saints,sleeper,NO,,
americanfootball_nfl,NYG,New York Giants,sleeper,NYG,,
americanfootball_nfl,NYJ,New York Jets,sleeper,NYJ,,
americanfootball_nfl,PHI,Philadelphia Eagles,sleeper,PHI,,
americanfootball_nfl,PIT,Pittsburgh Steelers,sleeper,PIT,,
americanfootball_nfl,SEA,Seattle Seahawks,sleeper,SEA,,
americanfootball_nfl,SF,San Francisco 49ers,sleeper,SF,,
americanfootball_nfl,TB,Tampa Bay Buccaneers,sleeper,TB,,
americanfootball_nfl,TEN,Tennessee Titans,sleeper,TEN,,
americanfootball_nfl,WAS,Washington Commanders,sleeper,WAS,,
americanfootball_nfl,Arizona Cardinals,Arizona Cardinals,underdog,ARI,,
americanfootball_nfl,Atlanta Falcons,Atlanta Falcons,underdog,ATL,,
americanfootball_nfl,Baltimore Ravens,Baltimore Ravens,underdog,BAL,,
americanfootball_nfl,Buffalo Bills,Buffalo Bills,underdog,BUF,,
americanfootball_nfl,Carolina Panthers,Carolina Panthers,underdog,CAR,,
americanfootball_nfl,Chicago Bears,Chicago Bears,underdog,CHI,,
americanfootball_nfl,Cincinnati Bengals,Cincinnati Bengals,underdog,CIN,,
americanfootball_nfl,Cleveland Browns,Cleveland Browns,underdog,CLE,,
americanfootball_nfl,Dallas Cowboys,Dallas Cowboys,underdog,DAL,,
americanfootball_nfl,Denver Broncos,Denver Broncos,underdog,DEN,,
americanfootball_nfl,Detroit Lions,Detroit Lions,underdog,DET,,
americanfootball_nfl,Green Bay Packers,Green Bay Packers,underdog,GB,,
americanfootball_nfl,Houston Texans,Houston Texans,underdog,HOU,,
americanfootball_nfl,Indianapolis Colts,Indianapolis Colts,underdog,IND,,
americanfootball_nfl,Jacksonville Jaguars,Jacksonville Jaguars,underdog,JAX,,
americanfootball_nfl,Kansas City Chiefs,Kansas City Chiefs,underdog,KC,,
americanfootball_nfl,Las Vegas Raiders,Las Vegas Raiders,underdog,LV,,
americanfootball_nfl,Los Angeles Chargers,Los Angeles Chargers,underdog,LAC,,
americanfootball_nfl,Los Angeles Rams,Los Angeles Rams,underdog,LAR,,
americanfootball_nfl,Miami Dolphins,Miami Dolphins,underdog,MIA,,
americanfootball_nfl,Minnesota Vikings,Minnesota Vikings,underdog,MIN,,
americanfootball_nfl,New England Patriots,New England Patriots,underdog,NE,,
