sport_key,alias,canonical_name,source_bookmaker,abbreviation,team_id,notes
icehockey_nhl,ANA,Anaheim Ducks,sleeper,ANA,,
icehockey_nhl,ARI,Arizona Coyotes,sleeper,ARI,,
icehockey_nhl,BOS,Boston Bruins,sleeper,BOS,,
icehockey_nhl,BUF,Buffalo Sabres,sleeper,BUF,,
icehockey_nhl,CGY,Calgary Flames,sleeper,CGY,,
icehockey_nhl,CAR,Carolina Hurricanes,sleeper,CAR,,
icehockey_nhl,CHI,Chicago Blackhawks,sleeper,CHI,,
icehockey_nhl,COL,Colorado Avalanche,sleeper,COL,,
icehockey_nhl,CBJ,Columbus Blue Jackets,sleeper,CBJ,,
icehockey_nhl,DAL,Dallas Stars,sleeper,DAL,,
icehockey_nhl,DET,Detroit Red Wings,sleeper,DET,,
icehockey_nhl,EDM,Edmonton Oilers,sleeper,EDM,,
icehockey_nhl,FLA,Florida Panthers,sleeper,FLA,,
icehockey_nhl,LAK,Los Angeles Kings,sleeper,LAK,,
icehockey_nhl,MIN,Minnesota Wild,sleeper,MIN,,
icehockey_nhl,MTL,Montréal Canadiens,sleeper,MTL,,
icehockey_nhl,NSH,Nashville Predators,sleeper,NSH,,
icehockey_nhl,NJD,New Jersey Devils,sleeper,NJD,,
icehockey_nhl,NYI,New York Islanders,sleeper,NYI,,
icehockey_nhl,NYR,New York Rangers,sleeper,NYR,,
icehockey_nhl,OTT,Ottawa Senators,sleeper,OTT,,
icehockey_nhl,PHI,Philadelphia Flyers,sleeper,PHI,,
icehockey_nhl,PIT,Pittsburgh Penguins,sleeper,PIT,,
icehockey_nhl,SEA,Seattle Kraken,sleeper,SEA,,
icehockey_nhl,SJS,San Jose Sharks,sleeper,SJS,,
icehockey_nhl,STL,St. Louis Blues,sleeper,STL,,
icehockey_nhl,TBL,Tampa Bay Lightning,sleeper,TBL,,
icehockey_nhl,TOR,Toronto Maple Leafs,sleeper,TOR,,
icehockey_nhl,VAN,Vancouver Canucks,sleeper,VAN,,
icehockey_nhl,VGK,Vegas Golden Knights,sleeper,VGK,,
icehockey_nhl,WSH,Washington Capitals,sleeper,WSH,,
icehockey_nhl,WPG,Winnipeg Jets,sleeper,WPG,,
icehockey_nhl,Anaheim Ducks,Anaheim Ducks,underdog,ANA,,
icehockey_nhl,Anaheim Ducks,Anaheim Ducks,splash,ANA,,
icehockey_nhl,Arizona Coyotes,Arizona Coyotes,underdog,ARI,,
icehockey_nhl,Arizona Coyotes,Arizona Coyotes,splash,ARI,,
icehockey_nhl,Boston Bruins,Boston Bruins,underdog,BOS,,
icehockey_nhl,Boston Bruins,Boston Bruins,splash,BOS,,
icehockey_nhl,Buffalo Sabres,Buffalo Sabres,underdog,BUF,,
